ingredient_id,ingredient_name,ingredient_grp_name,ingredient_auth_num,ingredient_recom_name,ingredient_type,ingredient_limit_high,ingredient_limit_low,ingredeint_unit,ingredient_function_content,ingredient_caution_content,ingredinet_function_code,ingredinet_caution_code
371,마늘,마늘,,마늘,기능성원료,1,0.6,g,혈중 콜레스테롤 개선·혈압조절에 도움을 줄 수 있음,,"{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 1, 'HF24': 1, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 0, 'P2': 0, 'P1': 0, 'INFANT_TODDLER': 0, 'KIDS': 0, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
372,콜레우스포스콜리 추출물,콜레우스 포스콜리 추출물,,콜레우스포스콜리추출물,기능성원료,50,50,mg,체지방 감소에 도움을 줄 수 있음,"어린이, 임산부 및 수유부는 섭취를 피할 것 항응고제 또는 혈압조절제를 복용하거나 혈압이 낮은 경우 전문가와 상담할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 1, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 1, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
373,Bacillus coagulans Unique IS-2 프로바이오틱스,프로바이오틱스,제2022-45호,프로바이오틱스,개별인정원료,2000000000,2000000000,CFU/일,배변활동 원활에 도움을 줄 수 있음,"질환이 있거나 의약품 복용 시 전문가와 상담할 것 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의 영·유아, 임산부 및 수유부는 섭취에 주의 어린이가 함부로 섭취하지 않도록 일일 섭취량 방법을 지도할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 1, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 1, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
374,레몬버베나추출물 등 복합물(티에뜨레Ⓡ),레몬버베나추출물 등 복합물,제2022-13호,레몬버베나추출물등복합물,개별인정원료,500,500,mg/일,체지방 감소에 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 당뇨, 혈압 등의 질환이 있거나 의약품 복용 시 전문가와 상담할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 1, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 1, 'DI06': 1, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
375,저분자콜라겐펩타이드 AG,저분자콜라겐펩타이드 AG,제2023-10호,저분자콜라겐펩타이드AG,개별인정원료,1,1,g/일,피부 보습에 도움을 줄 수 있음 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 1, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
376,크릴오일(FJH-KO),크릴오일,제2022-41호,크릴오일,개별인정원료,1.5,1.5,g/일,관절건강에 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 질환이 있거나 의약품 복용 시 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 1, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
377,강황추출물,강황 추출물,제2023-5호,강황추출물,개별인정원료,250,250,mg/일,근력개선에 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 제안된 섭취량 이상 섭취 시 소화불량, 위장장애, 메스꺼움, 위산역류 등이 있을 수 있음 질환이 있거나 의약품 복용 시 전문가와 상담할 것 수술 전후에는 섭취에 주의","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 1, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 1, 'O2': 1, 'O1': 1, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
378,현삼추출물,현삼추출물,제2022-42호,현삼추출물,개별인정원료,300,300,mg/일,기억력 개선에 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 천연물 소재의 추출물 섭취 시 있을 수 있는 경미한 소화불량이 있을 수 있음","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 1, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
379,흰목이버섯효소분해추출물(Neu learn),흰목이버섯효소분해추출물,제2022-30호,흰목이버섯효소분해추출물,개별인정원료,1200,600,mg/일,노화로 인해 감소된 인지기능 개선에 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 1, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
380,해국추출물,해국추출물,제2022-36호,해국추출물,개별인정원료,700,700,mg/일,체지방 감소에 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 1, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
381,에키네시아추출물,에키네시아추출물,제2023-1호,에키네시아추출물,개별인정원료,200,200,mg/일,면역기능 증진에 도움을 줄 수 있음,"영·유아, 어린이, 임산부, 및 수유부는 섭취 시 전문가와 상담할 것 특정질환(알레르기 체질 등)이 있는 분은 섭취 시 주의할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 8주 이상 연속으로 섭취하지 말 것 결핵, 백혈병, 교원증, 다발성 경화증, AIDS, HIV 감염 및 자가면역 장애가 있는 경우 섭취를 금지할 것 면역억제제를 복용할 경우 섭취 전 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 1, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 1, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
382,가다랑어 엘라스틴 펩타이드(VGPG ElastinⓇ),가다랑어 엘라스틴 펩타이드,제2022-38호,가다랑어엘라스틴펩타이드,개별인정원료,100,100,mg/일,피부보습에 도움을 줄 수 있음 자외선에 의한 피부손상으로부터 피부건강 유지에 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 1, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
383,크릴오일(SuperbaTM Boost),크릴오일,제2023-13호,크릴오일,개별인정원료,2,1,g/일,체지방 감소에 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 의약품(항응고제, 항혈소판제 등) 복용 시 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 0, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 1, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 1, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
384,저분자콜라겐펩타이드,저분자콜라겐펩타이드,제2023-14호,저분자콜라겐펩타이드,개별인정원료,3,1,g/일,피부 보습에 도움을 줄 수 있음 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음,"영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","{'HF00': 0, 'HF01': 0, 'HF02': 0, 'HF03': 0, 'HF04': 0, 'HF05': 0, 'HF06': 0, 'HF07': 1, 'HF08': 0, 'HF09': 0, 'HF10': 0, 'HF11': 0, 'HF12': 0, 'HF13': 0, 'HF14': 0, 'HF15': 0, 'HF16': 0, 'HF17': 0, 'HF18': 0, 'HF19': 0, 'HF20': 0, 'HF21': 0, 'HF22': 0, 'HF23': 0, 'HF24': 0, 'HF25': 0, 'HF26': 0}","{'DI01': 0, 'DI02': 0, 'DI03': 0, 'DI04': 0, 'DI05': 0, 'DI06': 0, 'DI07': 0, 'DI08': 0, 'DI09': 0, 'DI10': 0, 'DI11': 0, 'DI12': 0, 'DI13': 0, 'DI14': 0, 'DI15': 0, 'DI16': 0, 'DI17': 0, 'AL01': 0, 'AL02': 0, 'AL03': 0, 'AL04': 0, 'AL05': 0, 'AL06': 0, 'AL07': 0, 'AL08': 0, 'AL09': 0, 'AL10': 0, 'AL11': 0, 'AL12': 0, 'AL13': 0, 'AL14': 0, 'AL15': 0, 'AL16': 0, 'AL17': 0, 'AL18': 0, 'AL19': 0, 'AL20': 0, 'P3': 1, 'P2': 1, 'P1': 0, 'INFANT_TODDLER': 1, 'KIDS': 1, 'TEENAGER': 0, 'ADULT': 0, 'OLD': 0, 'FEMALE': 0, 'MALE': 0, 'S1': 0, 'O3': 0, 'O2': 0, 'O1': 0, '단백질': 0, '비타민 A': 0, '베타카로틴': 0, '요오드': 0}"
